#                  R                  OH                  OO                 OCl                 HCl                OClO                HClH
                3.93        0.9603674816         0.891895982        0.5761855474         1.153244633      0.006536829655      0.007050298566
               3.942        0.9607282687        0.9012477889        0.5640006348         1.160820272      0.007234780819       0.00745772788
               3.954        0.9551358152        0.9081466529        0.5833647517         1.113053042      0.007693619085       0.00701486993
               3.966        0.9539011709        0.9202500885        0.6405686941         1.091917445      0.007800250513       0.00683329817
               3.978        0.9514135619        0.9292896793        0.6356867573          1.10034513      0.007525593805      0.006673869308
                3.99        0.9530736617        0.9282819896        0.6606825913         1.076787199      0.007208930776      0.007006012771
               4.002        0.9517042854        0.9357095925        0.6530199087         1.058040512      0.006834105151      0.006682726467
               4.014         0.944485997        0.9395761446        0.6360584815         1.013540266      0.007422193632      0.006616297775
               4.026        0.9483584388        0.9338248983        0.5883230039         1.015831061       0.00719923701      0.006877583965
               4.038        0.9445243059        0.9375502058        0.5699376422         1.023868813      0.006620842295      0.006704869365
                4.05         0.941473543        0.9358881078        0.5997958377        0.9916536779      0.006326798055      0.006846583909
               4.062        0.9358049264        0.9322252753        0.5347671806        0.9768086757      0.005476977887      0.006851012488
               4.074        0.9355722949        0.9368058034        0.5075603438        0.9525291653      0.004888889406      0.007355870552
               4.086        0.9352338939        0.9398490961        0.5032904839        0.9584176524      0.005037527154      0.007479870778
               4.098        0.9366891066        0.9409534154        0.5353747958        0.9324069447      0.004892120661      0.007502013675
                4.11        0.9353096179        0.9466435386        0.5280998504        0.9319221195      0.004959977024      0.007307156177
               4.122        0.9319691016        0.9477140882        0.5291585998        0.9209455943      0.004808108021       0.00719644169
               4.134        0.9332053153         0.949999347        0.4809343499        0.9058175855      0.004830726809      0.006970584135
               4.146        0.9309182439        0.9552722288        0.4856893249        0.9239713531       0.00475963919      0.006766869478
               4.158        0.9332870217        0.9546219579        0.4688433974        0.9128711823      0.004106925601      0.007577299527
                4.17         0.929351923        0.9535790943        0.4866321433        0.8806241752      0.004598076421       0.00790058583
               4.182        0.9289902555        0.9675693043        0.4856948698        0.8974863588      0.004766101701      0.007586156686
               4.194        0.9274438334        0.9776535894        0.4866012022        0.9006417585      0.005124771049      0.007271727541
               4.206        0.9271443702        0.9837527661        0.5183005751        0.8945947242      0.005237864988      0.007519727993
               4.218        0.9310606418        0.9877060984         0.491999373         0.925304616      0.005548065506      0.007329299075
                4.23         0.929986525         1.006928261        0.5223889776        0.8981953669      0.005884116066      0.007023727089
               4.242        0.9300973675         1.026402979         0.551827511          0.91036544       0.00595843494      0.006975012714
               4.254        0.9293827155         1.042110975         0.588381446        0.9317779159      0.005489902909      0.007386870608
               4.266        0.9317609367         1.056543624        0.5758831614         0.924615704      0.004856576852      0.007608299583
