#                  R                  OH                  OO                 OCl                 HCl                OClO                HClH
               3.258          1.62492352        0.7049040901         2.529019796        0.7094354236       0.01079977996       0.01076845242
                3.27          1.61660764        0.7116667401         2.583943454        0.7389785465       0.01090062412       0.01108546298
               3.282         1.611007059        0.7038210856         2.494630929        0.7674555799       0.01052876126       0.01118452878
               3.294         1.604499853        0.6980891108         2.453256642        0.7879179524       0.01019786634       0.01062480701
               3.306         1.591229572        0.6959514763         2.160905403        0.8214159569       0.01044052261       0.01032513296
               3.318         1.583518465         0.708991468         2.096617584        0.9000825804       0.01097310587        0.0104043856
                3.33         1.563001207        0.7169261287         1.969070452        0.9015035759       0.01138593668       0.01057279746
               3.342         1.549168603        0.7085589738         1.859215004        0.9212925871       0.01041846295       0.01049106818
               3.354         1.531036357        0.7157257683         1.749227398        0.9372377382       0.01158762501       0.01028798329
               3.366         1.517626417        0.7197019996         1.763943855        0.9604266796       0.01046888504        0.0105529843
               3.378         1.499562376        0.7244453121         1.727017771        0.9854721036        0.0102041691       0.00996106615
                3.39         1.479379247         0.712977963         1.609065578         1.028726027        0.0111117666      0.009978402665
               3.402         1.460085372         0.719660345         1.468659082         1.060456226       0.01056657782          0.01028303
               3.414         1.441403348        0.7264192272         1.479752239         1.079308518      0.009403718528       0.01041181554
               3.426         1.419643765        0.7352978376          1.42916529         1.113582445      0.009863820038       0.01015176781
               3.438         1.396627244         0.731057526         1.321105228         1.154086997        0.0095991041       0.01015424446
                3.45         1.380001793          0.74278174         1.349828673         1.176390736      0.009561287538       0.01017158097
               3.462         1.355631137        0.7650509977         1.207656221         1.191052331      0.009696796887       0.01016415104
               3.474         1.337697047         0.762427065         1.260448226         1.212848882       0.01016320116       0.00994125299
               3.486         1.321027491        0.7510663795         1.221871798         1.277332027       0.01032392155      0.009681205266
               3.498         1.300069753        0.7594013439          1.14172489         1.293738024      0.009756673111      0.009819897386
                3.51         1.285710452        0.7586414018         1.196389346         1.277584447      0.009882728319       0.01002298227
               3.522         1.265681437        0.7524416215         1.102474163          1.36579308      0.009466746132      0.009743121391
               3.534         1.247260142        0.7664951325         1.002581299         1.377991588      0.008864832513       0.01008985169
               3.546         1.231587694        0.7712039626         1.039488431         1.410357476      0.008341703399      0.009993262535
               3.558         1.217184205        0.7782140548         1.022008546         1.377908979      0.009514016835      0.009592046047
                3.57         1.200266148        0.7805654239        0.8831550422         1.371576006      0.009413172668       0.00865587424
               3.582         1.188695774        0.7800120525        0.8427119911         1.415342544      0.007774454962      0.008953071639
               3.594         1.171488055         0.803694952        0.8296987464         1.403133768      0.007780757723      0.008938211769
               3.606         1.159541997        0.8096524324         0.830715639         1.390035601      0.007052788896      0.008918398609
               3.618         1.146962613        0.8182289341        0.8175114208         1.383870684      0.008319643738       0.00884905255
                3.63         1.137194467          0.80765008        0.7708349779         1.420245324       0.00757591801      0.008987744669
               3.642         1.125472362        0.8136279147        0.8283770997         1.428905487      0.008458304467      0.009101670339
               3.654         1.112270685        0.8165005753         0.783198935         1.435831592      0.008310189597      0.009071950599
               3.666         1.099566884         0.816447649        0.8104588746         1.429704736      0.008622176237      0.008536995281
               3.678         1.090627397        0.8365219047        0.7608500514         1.413231405      0.008726171784      0.008539471926
                3.69         1.082308141        0.8496801581        0.7434376596         1.469044508      0.009331236783      0.008524612056
               3.702         1.073376045        0.8541807887        0.7289452346         1.452178946      0.009993026626      0.008153115307
               3.714         1.064698432        0.8546423417        0.7005818705          1.41453289       0.00851187793      0.008341340327
