 119865  5.78778547   
     0.21577766077585E+01     0.35799726219051E+01    -0.56894523250226E+01
     0.72233086605618E-01     0.43870661360615E+01    -0.37196821915667E+01
    -0.28552336951729E+01     0.98529424912891E+01    -0.37625671443453E+02
    -0.41077327358513E+01     0.10396680863489E+02    -0.35076211263043E+02
     0.11771764542124E+02     0.14088058757088E+02    -0.28042784582454E+02
     0.10858654084389E+02     0.14668769603471E+02    -0.25268868083286E+02
     0.11120391687204E+02     0.10914346686878E+02    -0.16985324918958E+02
     0.10794673269429E+02     0.11651127811445E+02    -0.19763556414074E+02
    -0.84819950599703E+01    -0.30239662431446E+01    -0.18180614581105E+02
    -0.62728358374354E+01    -0.39390690858515E+01    -0.16689664806367E+02
    -0.81418044400218E+01    -0.22922932180645E+01    -0.26482700906977E+02
    -0.79863867062321E+01     0.59378922448628E+00    -0.26690716143504E+02
    -0.72500867920249E+01    -0.10716184473188E+02    -0.33406435535780E+02
    -0.63358909454262E+01    -0.85545440204708E+01    -0.34994087590832E+02
     0.25317003906150E+00    -0.25814004732101E+01    -0.21629959908658E+02
     0.15095366174724E+01    -0.36431190880655E+01    -0.18994010531059E+02
    -0.37697351750071E+01     0.17247241473016E+01    -0.32534060423571E+02
    -0.61963604255311E+01     0.11683268710956E+01    -0.34011960763266E+02
    -0.45381069499157E+01     0.23890633128180E+01    -0.20471996334084E+02
    -0.58467764096224E+01     0.26338888781231E+00    -0.18493412543685E+02
     0.63537405111399E+01     0.37947616677986E+01    -0.41753792486364E+02
     0.41022563951517E+01     0.55678934532787E+01    -0.41228343041470E+02
     0.24079270080702E+01    -0.57437117171355E+01    -0.14938659383342E+02
     0.50986014821170E+01    -0.50386124555167E+01    -0.16573980174409E+02
     0.56632463699292E+01     0.45869887301574E+01    -0.18790952322869E+02
     0.39050127365234E+01     0.25325776875663E+01    -0.17444803669518E+02
    -0.35646174475358E+01     0.68428069379389E+01    -0.10348467178866E+02
    -0.60034079289732E+01     0.56908352443797E+01    -0.11198071277236E+02
     0.10061358221459E+02     0.23788764076198E+01    -0.43448467202696E+02
     0.10008916430269E+02     0.22073732474563E+01    -0.40638756698553E+02
     0.15988807447175E+00     0.92016762712452E+01    -0.24385869094005E+02
     0.21073754159169E+01     0.97773612775038E+01    -0.26415110737249E+02
     0.22717542562334E+01     0.19014205950176E+01    -0.24569687501020E+02
     0.25636356706153E+01     0.25590821735107E+01    -0.21638017499915E+02
     0.77221523065031E+01    -0.60259482434104E+01    -0.27440082084918E+02
     0.55483642890958E+01    -0.40280814629180E+01    -0.27197698412711E+02
    -0.14512889755997E+01    -0.57546015140367E+01    -0.30927564951817E+02
    -0.12887322999544E+01    -0.49490377018968E+01    -0.28163576960160E+02
    -0.13861999699384E+02     0.17990057591240E+01    -0.31326964383107E+02
    -0.13439785483486E+02     0.22386566010214E+00    -0.28937851132413E+02
    -0.15258307022353E+01    -0.13404403546183E+02    -0.28592326677056E+02
    -0.17158142598358E+01    -0.13267820318247E+02    -0.31572465902496E+02
     0.10071832855301E+02    -0.11682540153225E+02     0.36680684999502E+00
     0.11937317413072E+02    -0.13850533190304E+02     0.94317008923104E+00
    -0.10986886600762E+02     0.73548673219619E+01    -0.19762125883924E+02
    -0.86630956030355E+01     0.59093027304860E+01    -0.19509954473913E+02
     0.50495762380304E+01    -0.67482344743550E+01    -0.24146624203395E+02
     0.27591793810383E+01    -0.62280729883686E+01    -0.22344352766804E+02
    -0.47173635428027E+01    -0.78420176412167E+01    -0.26130466717647E+02
    -0.74778122061574E+01    -0.84606882760016E+01    -0.26989247992121E+02
     0.12997065380354E+02    -0.17022690642519E+01    -0.43686962593565E+02
     0.12356012712489E+02    -0.16242222031002E+01    -0.46650537588800E+02
    -0.19645126779347E+01    -0.12240463783223E+02    -0.41848966108035E+02
    -0.43902671052450E+00    -0.10901931683832E+02    -0.39627499582771E+02
    -0.10895345083385E+02    -0.85580472620487E+01    -0.21615372186062E+02
    -0.13834817871545E+02    -0.79264444377534E+01    -0.20754941172392E+02
